emuIRN,curatorial_section,object_number,object_name,native_name,culture,provenience,material,period,date_made,date_made_early,date_made_late,accession_credit_line,creator,description,manufacture_locationlocus,culture_area,technique,iconography,measurement_height,measurement_length,measurement_width,measurement_outside_diameter,measurement_tickness,measurement_unit,other_numbers,url
534095,European,12921O,Horse Teeth|Horse Bone,,,France|Laugerie Haute,Horse Tooth|Horse Bone,,,,,"Gift of Henry C. Mercer, 1893",,1 of 15 fragments of horse teeth.  Piece of leg bone included.,,,,,,,,,,,,http://www.penn.museum/collections/object/534095
368719,European,87-16-2,Point,,Swiss Lake Dweller,Switzerland,Stone,,,,,"Gift of Penn Department of Anthropology, 1987",,Stone point,,,,,,,,,,,EU2,http://www.penn.museum/collections/object/368719
534096,European,12921P,Horse Leg Bone,,,France|Laugerie Haute,Horse Bone,,,,,"Gift of Henry C. Mercer, 1893",,1 of 15 fragments of horse teeth.  Piece of leg bone included.,,,,,,,,,,,,http://www.penn.museum/collections/object/534096
345124,European,87-16-16,Point,,,Europe,Flint,,,,,"Gift of Penn Department of Anthropology, 1987",,"Flint Point.  Tanged.  ""Europe"" in white ink.",,,,,,,,,,,,http://www.penn.museum/collections/object/345124
367407,European,EU2542,Awl,,,Switzerland|Morigen|Lake Bienne,Bone,,,,,,,Number 4174 written on object in black ink. Number 109 written on object in white ink.<br /><br />Bone awl,,,,,,,,,,,109|4174,http://www.penn.museum/collections/object/367407
367408,European,EU2543,Awl,,,Switzerland|Lake Bienne,Bone,,,,,,,Number 4173 written on object in black ink.<br /><br />Bone awl,,,,,,,,,,,4173,http://www.penn.museum/collections/object/367408
320735,European,29-29-8,Earring,,Medieval|Slavic|Burgwall,Bohemia|Prague|Budec|Venkov,Bronze,European Medieval Period|Burgwall Period,1000-1100 AD,1000,1100,"University Museum / Harvard Peabody Museum Expedition to Central Europe (Bohemia); Vladimir J. Fewkes, 1929",,Bronze earring,,,,,,,,,,,,http://www.penn.museum/collections/object/320735
328333,European,5572,Pin,,Bronze Age (uncertain)|Iron Age (uncertain),Switzerland,Bronze,Bronze Age (uncertain)|Iron Age (uncertain),,,,"Gift of Francis C. Macauley, 1890",,Original Card: Pin.  Bronze.  Square in section<br /><br />Revised Card: Bronze Pin.  Square in section.  Broken.,,,,,,,,,,,,http://www.penn.museum/collections/object/328333
382172,European,2006-10-127,Implement,,Swiss Lake Dweller,Switzerland,Horn (animal part)|Bone,,,,,"Gift of Brooklyn Museum, 2006",,Eroded sticker next to inked number.  Jagged edges with layers of bone exposed at larger end.  Medium brown color.,,,,,,,,,,,01.1061.8,http://www.penn.museum/collections/object/382172
382176,European,2006-10-130,Tool,,Swiss Lake Dweller,Switzerland,Antler (uncertain)|Horn (uncertain)|Bone (uncertain),,,,,"Gift of Brooklyn Museum, 2006",,Sharpened point and relatively smooth.  Discovered to physically join 2006-10-128 during cataloguing.,,,,,,,,,,,01.1153,http://www.penn.museum/collections/object/382176
382171,European,2006-10-126,Implement,,Swiss Lake Dweller,Switzerland,Horn (animal part)|Bone,,,,,"Gift of Brooklyn Museum, 2006",,Broken longitudinally into 2 pieces.,,,,,,,,,,,01.1061.7,http://www.penn.museum/collections/object/382171
349084,European,EU2602,Pendant,,,Switzerland|Robenhausen (uncertain),Tooth,,,,,,,Pendant - tooth,,,,,,,,,,,4190,http://www.penn.museum/collections/object/349084
367474,European,EU2654B,Object Fragment,,,France|Somme|Saint-Acheul|Rue Pluvial Quarry,Bone,,,,,"Gift of Henry C. Mercer, 1893",,Bone fragment,,,,,,,,,,,,http://www.penn.museum/collections/object/367474
192705,European,29-29-259,Bone,,,Bohemia|Kladno|Hostoun|Vebr's Brickyard,Bone,,,,,"University Museum / Harvard Peabody Museum Expedition to Central Europe (Bohemia); Vladimir J. Fewkes, 1929",,One bone fragment.,,,,,,,,,,,,http://www.penn.museum/collections/object/192705
192706,European,29-29-260,Bone,,,Bohemia|Kladno|Hostoun|Vebr's Brickyard,Bone,,,,,"University Museum / Harvard Peabody Museum Expedition to Central Europe (Bohemia); Vladimir J. Fewkes, 1929",,One bone fragment.,,,,,,,,,,,,http://www.penn.museum/collections/object/192706
230718,European,29-29-261,Bone,,,Bohemia|Kladno|Hostoun|Vebr's Brickyard,Bone,,,,,"University Museum / Harvard Peabody Museum Expedition to Central Europe (Bohemia); Vladimir J. Fewkes, 1929",,One bone fragment.,,,,,,,,,,,,http://www.penn.museum/collections/object/230718
284654,European,29-29-262,Bone,,,Bohemia|Kladno|Hostoun|Vebr's Brickyard,Bone,,,,,"University Museum / Harvard Peabody Museum Expedition to Central Europe (Bohemia); Vladimir J. Fewkes, 1929",,One bone fragment.,,,,,,,,,,,,http://www.penn.museum/collections/object/284654
105780,European,29-29-263,Bone,,,Bohemia|Kladno|Hostoun|Vebr's Brickyard,Bone,,,,,"University Museum / Harvard Peabody Museum Expedition to Central Europe (Bohemia); Vladimir J. Fewkes, 1929",,One bone fragment.,,,,,,,,,,,,http://www.penn.museum/collections/object/105780
97093,European,29-29-264,Bone,,,Bohemia|Kladno|Hostoun|Vebr's Brickyard,Bone,,,,,"University Museum / Harvard Peabody Museum Expedition to Central Europe (Bohemia); Vladimir J. Fewkes, 1929",,One bone fragment.,,,,,,,,,,,,http://www.penn.museum/collections/object/97093
343205,European,29-29-265,Bone,,,Bohemia|Kladno|Hostoun|Vebr's Brickyard,Bone,,,,,"University Museum / Harvard Peabody Museum Expedition to Central Europe (Bohemia); Vladimir J. Fewkes, 1929",,One bone fragment.,,,,,,,,,,,,http://www.penn.museum/collections/object/343205
182885,European,29-29-266,Bone,,,Bohemia|Kladno|Hostoun|Vebr's Brickyard,Bone,,,,,"University Museum / Harvard Peabody Museum Expedition to Central Europe (Bohemia); Vladimir J. Fewkes, 1929",,One bone fragment.,,,,,,,,,,,,http://www.penn.museum/collections/object/182885
204371,European,29-29-267,Bone,,,Bohemia|Kladno|Hostoun|Vebr's Brickyard,Bone,,,,,"University Museum / Harvard Peabody Museum Expedition to Central Europe (Bohemia); Vladimir J. Fewkes, 1929",,One bone fragment.,,,,,,,,,,,,http://www.penn.museum/collections/object/204371
244155,European,29-29-268,Bone,,,Bohemia|Kladno|Hostoun|Vebr's Brickyard,Bone,,,,,"University Museum / Harvard Peabody Museum Expedition to Central Europe (Bohemia); Vladimir J. Fewkes, 1929",,One bone fragment.,,,,,,,,,,,,http://www.penn.museum/collections/object/244155
1993,European,29-29-269,Bone,,,Bohemia|Kladno|Hostoun|Vebr's Brickyard,Bone,,,,,"University Museum / Harvard Peabody Museum Expedition to Central Europe (Bohemia); Vladimir J. Fewkes, 1929",,One bone fragment.,,,,,,,,,,,,http://www.penn.museum/collections/object/1993
1994,European,29-29-270,Bone,,,Bohemia|Kladno|Hostoun|Vebr's Brickyard,Bone,,,,,"University Museum / Harvard Peabody Museum Expedition to Central Europe (Bohemia); Vladimir J. Fewkes, 1929",,One bone fragment.,,,,,,,,,,,,http://www.penn.museum/collections/object/1994
132334,European,29-29-271,Bone,,,Bohemia|Kladno|Hostoun|Vebr's Brickyard,Bone,,,,,"University Museum / Harvard Peabody Museum Expedition to Central Europe (Bohemia); Vladimir J. Fewkes, 1929",,One bone fragment.,,,,,,,,,,,,http://www.penn.museum/collections/object/132334
149279,European,29-29-272,Bone,,,Bohemia|Kladno|Hostoun|Vebr's Brickyard,Bone,,,,,"University Museum / Harvard Peabody Museum Expedition to Central Europe (Bohemia); Vladimir J. Fewkes, 1929",,One bone fragment.,,,,,,,,,,,,http://www.penn.museum/collections/object/149279
220540,European,29-29-273,Bone,,,Bohemia|Kladno|Hostoun|Vebr's Brickyard,Bone,,,,,"University Museum / Harvard Peabody Museum Expedition to Central Europe (Bohemia); Vladimir J. Fewkes, 1929",,One bone fragment.,,,,,,,,,,,,http://www.penn.museum/collections/object/220540
249955,European,29-29-274,Bone,,,Bohemia|Kladno|Hostoun|Vebr's Brickyard,Bone,,,,,"University Museum / Harvard Peabody Museum Expedition to Central Europe (Bohemia); Vladimir J. Fewkes, 1929",,One bone fragment.,,,,,,,,,,,,http://www.penn.museum/collections/object/249955
277659,European,29-29-275,Bone,,,Bohemia|Kladno|Hostoun|Vebr's Brickyard,Bone,,,,,"University Museum / Harvard Peabody Museum Expedition to Central Europe (Bohemia); Vladimir J. Fewkes, 1929",,One bone fragment.,,,,,,,,,,,,http://www.penn.museum/collections/object/277659
76584,European,29-29-276,Bone,,,Bohemia|Kladno|Hostoun|Vebr's Brickyard,Bone,,,,,"University Museum / Harvard Peabody Museum Expedition to Central Europe (Bohemia); Vladimir J. Fewkes, 1929",,One bone fragment.,,,,,,,,,,,,http://www.penn.museum/collections/object/76584
534131,European,29-29-277,Bone,,,Bohemia|Kladno|Hostoun|Vebr's Brickyard,Bone,,,,,"University Museum / Harvard Peabody Museum Expedition to Central Europe (Bohemia); Vladimir J. Fewkes, 1929",,One bone fragment.,,,,,,,,,,,,http://www.penn.museum/collections/object/534131
70990,European,29-29-278,Bone,,,Bohemia|Kladno|Hostoun|Vebr's Brickyard,Bone,,,,,"University Museum / Harvard Peabody Museum Expedition to Central Europe (Bohemia); Vladimir J. Fewkes, 1929",,One bone fragment.,,,,,,,,,,,,http://www.penn.museum/collections/object/70990
